iOS Emoji

by Eric Fredricksen 2016 (source code)
This'll work best in Safari; Chrome will show most of it correctly.
[dense] [descriptive]
People
👀	EYES	&#x1f440;
🗣	SPEAKING HEAD IN SILHOUETTE	&#x1f5e3;
👤	BUST IN SILHOUETTE	&#x1f464;
👥	BUSTS IN SILHOUETTE	&#x1f465;
👶	BABY	&#x1f476;
👦	BOY	&#x1f466;
👧	GIRL	&#x1f467;
👨	MAN	&#x1f468;
👩	WOMAN	&#x1f469;
👱	PERSON WITH BLOND HAIR	&#x1f471;
👴	OLDER MAN	&#x1f474;
👵	OLDER WOMAN	&#x1f475;
👲	MAN WITH GUA PI MAO	&#x1f472;
👳	MAN WITH TURBAN	&#x1f473;
👮	POLICE OFFICER	&#x1f46e;
👷	CONSTRUCTION WORKER	&#x1f477;
💂	GUARDSMAN	&#x1f482;
🎅	FATHER CHRISTMAS	&#x1f385;
👸	PRINCESS	&#x1f478;
👰	BRIDE WITH VEIL	&#x1f470;
👼	BABY ANGEL	&#x1f47c;
🙇	PERSON BOWING DEEPLY	&#x1f647;
💁	INFORMATION DESK PERSON	&#x1f481;
🙅	FACE WITH NO GOOD GESTURE	&#x1f645;
🙆	FACE WITH OK GESTURE	&#x1f646;
🙋	HAPPY PERSON RAISING ONE HAND	&#x1f64b;
🙎	PERSON WITH POUTING FACE	&#x1f64e;
🙍	PERSON FROWNING	&#x1f64d;
💇	HAIRCUT	&#x1f487;
💆	FACE MASSAGE	&#x1f486;
💃	DANCER	&#x1f483;
👯	WOMAN WITH BUNNY EARS	&#x1f46f;
🚶	PEDESTRIAN	&#x1f6b6;
🏃	RUNNER	&#x1f3c3;
👫	MAN AND WOMAN HOLDING HANDS	&#x1f46b;
👭	TWO WOMEN HOLDING HANDS	&#x1f46d;
👬	TWO MEN HOLDING HANDS	&#x1f46c;
💑	COUPLE WITH HEART	&#x1f491;
👩‍❤️‍👩	COUPLE WITH HEART (woman, woman)	&#x1f469;&#x200d;&#x2764;&#xfe0f;&#x200d;&#x1f469;
👨‍❤️‍👨	COUPLE WITH HEART (man, man)	&#x1f468;&#x200d;&#x2764;&#xfe0f;&#x200d;&#x1f468;
💏	KISS	&#x1f48f;
👩‍❤️‍💋‍👩	KISS (woman, woman)	&#x1f469;&#x200d;&#x2764;&#xfe0f;&#x200d;&#x1f48b;&#x200d;&#x1f469;
👨‍❤️‍💋‍👨	KISS (man, man)	&#x1f468;&#x200d;&#x2764;&#xfe0f;&#x200d;&#x1f48b;&#x200d;&#x1f468;
👪	FAMILY	&#x1f46a;
👨‍👩‍👧	FAMILY (man, woman, girl)	&#x1f468;&#x200d;&#x1f469;&#x200d;&#x1f467;
👨‍👩‍👧‍👦	FAMILY (man, woman, girl, boy)	&#x1f468;&#x200d;&#x1f469;&#x200d;&#x1f467;&#x200d;&#x1f466;
👨‍👩‍👦‍👦	FAMILY (man, woman, boy, boy)	&#x1f468;&#x200d;&#x1f469;&#x200d;&#x1f466;&#x200d;&#x1f466;
👨‍👩‍👧‍👧	FAMILY (man, woman, girl, girl)	&#x1f468;&#x200d;&#x1f469;&#x200d;&#x1f467;&#x200d;&#x1f467;
👩‍👩‍👦	FAMILY (woman, woman, boy)	&#x1f469;&#x200d;&#x1f469;&#x200d;&#x1f466;
👩‍👩‍👧	FAMILY (woman, woman, girl)	&#x1f469;&#x200d;&#x1f469;&#x200d;&#x1f467;
👩‍👩‍👧‍👦	FAMILY (woman, woman, girl, boy)	&#x1f469;&#x200d;&#x1f469;&#x200d;&#x1f467;&#x200d;&#x1f466;
👩‍👩‍👦‍👦	FAMILY (woman, woman, boy, boy)	&#x1f469;&#x200d;&#x1f469;&#x200d;&#x1f466;&#x200d;&#x1f466;
👩‍👩‍👧‍👧	FAMILY (woman, woman, girl, girl)	&#x1f469;&#x200d;&#x1f469;&#x200d;&#x1f467;&#x200d;&#x1f467;
👨‍👨‍👦	FAMILY (man, man, boy)	&#x1f468;&#x200d;&#x1f468;&#x200d;&#x1f466;
👨‍👨‍👧	FAMILY (man, man, girl)	&#x1f468;&#x200d;&#x1f468;&#x200d;&#x1f467;
👨‍👨‍👧‍👦	FAMILY (man, man, girl, boy)	&#x1f468;&#x200d;&#x1f468;&#x200d;&#x1f467;&#x200d;&#x1f466;
👨‍👨‍👦‍👦	FAMILY (man, man, boy, boy)	&#x1f468;&#x200d;&#x1f468;&#x200d;&#x1f466;&#x200d;&#x1f466;
👨‍👨‍👧‍👧	FAMILY (man, man, girl, girl)	&#x1f468;&#x200d;&#x1f468;&#x200d;&#x1f467;&#x200d;&#x1f467;
👚	WOMANS CLOTHES	&#x1f45a;
👕	T-SHIRT	&#x1f455;
👖	JEANS	&#x1f456;
👔	NECKTIE	&#x1f454;
👗	DRESS	&#x1f457;
👙	BIKINI	&#x1f459;
👘	KIMONO	&#x1f458;
💄	LIPSTICK	&#x1f484;
💋	KISS MARK	&#x1f48b;
👣	FOOTPRINTS	&#x1f463;
👠	HIGH-HEELED SHOE	&#x1f460;
👡	WOMANS SANDAL	&#x1f461;
👢	WOMANS BOOTS	&#x1f462;
👞	MANS SHOE	&#x1f45e;
👟	ATHLETIC SHOE	&#x1f45f;
👒	WOMANS HAT	&#x1f452;
🎩	TOP HAT	&#x1f3a9;
🎓	GRADUATION CAP	&#x1f393;
👑	CROWN	&#x1f451;
⛑	HELMET WITH WHITE CROSS	&#x26d1;
🎒	SCHOOL SATCHEL	&#x1f392;
👝	POUCH	&#x1f45d;
👛	PURSE	&#x1f45b;
👜	HANDBAG	&#x1f45c;
💼	BRIEFCASE	&#x1f4bc;
👓	EYEGLASSES	&#x1f453;
🕶	DARK SUNGLASSES	&#x1f576;
💍	RING	&#x1f48d;
🌂	CLOSED UMBRELLA	&#x1f302;
Nature
🐶	DOG FACE	&#x1f436;
🐱	CAT FACE	&#x1f431;
🐭	MOUSE FACE	&#x1f42d;
🐹	HAMSTER FACE	&#x1f439;
🐰	RABBIT FACE	&#x1f430;
🐻	BEAR FACE	&#x1f43b;
🐼	PANDA FACE	&#x1f43c;
🐨	KOALA	&#x1f428;
🐯	TIGER FACE	&#x1f42f;
🦁	LION FACE	&#x1f981;
🐮	COW FACE	&#x1f42e;
🐷	PIG FACE	&#x1f437;
🐽	PIG NOSE	&#x1f43d;
🐸	FROG FACE	&#x1f438;
🐙	OCTOPUS	&#x1f419;
🐵	MONKEY FACE	&#x1f435;
🙈	SEE-NO-EVIL MONKEY	&#x1f648;
🙉	HEAR-NO-EVIL MONKEY	&#x1f649;
🙊	SPEAK-NO-EVIL MONKEY	&#x1f64a;
🐒	MONKEY	&#x1f412;
🐔	CHICKEN	&#x1f414;
🐧	PENGUIN	&#x1f427;
🐦	BIRD	&#x1f426;
🐤	BABY CHICK	&#x1f424;
🐣	HATCHING CHICK	&#x1f423;
🐥	FRONT-FACING BABY CHICK	&#x1f425;
🐺	WOLF FACE	&#x1f43a;
🐗	BOAR	&#x1f417;
🐴	HORSE FACE	&#x1f434;
🦄	UNICORN FACE	&#x1f984;
🐝	HONEYBEE	&#x1f41d;
🐛	BUG	&#x1f41b;
🐌	SNAIL	&#x1f40c;
🐞	LADY BEETLE	&#x1f41e;
🐜	ANT	&#x1f41c;
🕷	SPIDER	&#x1f577;
🦂	SCORPION	&#x1f982;
🦀	CRAB	&#x1f980;
🐍	SNAKE	&#x1f40d;
🐢	TURTLE	&#x1f422;
🐠	TROPICAL FISH	&#x1f420;
🐟	FISH	&#x1f41f;
🐡	BLOWFISH	&#x1f421;
🐬	DOLPHIN	&#x1f42c;
🐳	SPOUTING WHALE	&#x1f433;
🐋	WHALE	&#x1f40b;
🐊	CROCODILE	&#x1f40a;
🐆	LEOPARD	&#x1f406;
🐅	TIGER	&#x1f405;
🐃	WATER BUFFALO	&#x1f403;
🐂	OX	&#x1f402;
🐄	COW	&#x1f404;
🐪	DROMEDARY CAMEL	&#x1f42a;
🐫	BACTRIAN CAMEL	&#x1f42b;
🐘	ELEPHANT	&#x1f418;
🐐	GOAT	&#x1f410;
🐏	RAM	&#x1f40f;
🐑	SHEEP	&#x1f411;
🐎	HORSE	&#x1f40e;
🐖	PIG	&#x1f416;
🐀	RAT	&#x1f400;
🐁	MOUSE	&#x1f401;
🐓	ROOSTER	&#x1f413;
🦃	TURKEY	&#x1f983;
🕊	DOVE OF PEACE	&#x1f54a;
🐕	DOG	&#x1f415;
🐩	POODLE	&#x1f429;
🐈	CAT	&#x1f408;
🐇	RABBIT	&#x1f407;
🐿	CHIPMUNK	&#x1f43f;
🐾	PAW PRINTS	&#x1f43e;
